,Dataset,KNN,Random Forest,Neural Network,SVM
0,BoW (descr + title),0.7881533644123584,0.8234448813343466,0.8485903263092041,0.819439614981955
1,BoW (descr + title) + place + user,0.7956057983668041,0.8251241352693451,0.8400442600250244,0.8195107636190311
2,Tfidf (descr + title),0.8170521607702105,0.83193034385406,0.8271030902862548,0.8650964916555097
3,Tfidf (descr + title) + place + user,0.7048541307478764,0.7580205631044542,0.734498918056488,0.6150396398891136
